    50→   539→   539→
    51→   540→   540→                {/* Siswa Search */}
    52→   541→   541→                {testRomel && (
    53→   542→   542→                  <div>
    54→   543→   543→                    <Label className="text-sm font-medium">Pilih Siswa</Label>
    55→   544→   544→                    <div className="relative mt-1.5">
    56→   545→   545→                      <Search className="absolute left-3 top-1/2 -translate-y-1/2 h-4 w-4 text-muted-foreground" />
    57→   546→   546→                      <Input
    58→   547→   547→                        placeholder="Cari nama atau NISN..."
    59→   548→   548→                        value={siswaSearch}
    60→   549→   549→                        onChange={(e) => setSiswaSearch(e.target.value)}
    61→   550→   550→                        className="pl-9"
    62→   551→   551→                      />
    63→   552→   552→                    </div>
    64→   553→   553→                    <div className="mt-2 max-h-64 overflow-y-auto border rounded-lg">
    65→   554→   554→                      {siswaLoading ? (
    66→   555→   555→                        <div className="p-4 space-y-2">
    67→   556→   556→                          {[...Array(3)].map((_, i) => <Skeleton key={i} className="h-10 w-full" />)}
    68→   557→   557→                        </div>
    69→   558→   558→                      ) : filteredSiswa.length === 0 ? (
    70→   559→   559→                        <div className="p-4 text-center text-sm text-muted-foreground">
    71→   560→   560→                          {siswaSearch ? "Tidak ditemukan" : "Tidak ada siswa"}
    72→   561→   561→                        </div>
    73→   562→   562→                      ) : (
    74→   563→   563→                        filteredSiswa.map(s => {
    75→   564→   564→                          const sudah = sudahTesSet.has(s.id);
    76→   565→   565→                          return (
    77→   566→   566→                            <button
    78→   567→   567→                              key={s.id}
    79→   568→   568→                              onClick={() => {
    80→   569→   569→                                setTestSiswaId(s.id);
    81→   570→   570→                                setSelectedSiswa(s);
    82→   571→   571→                              }}
    83→   572→   572→                              className={cn(
    84→   573→   573→                                "w-full px-4 py-2.5 text-left flex items-center justify-between gap-2 transition-colors border-b last:border-b-0",
    85→   574→   574→                                testSiswaId === s.id ? "bg-primary/10" : "hover:bg-accent"
    86→   575→   575→                              )}
    87→   576→   576→                            >
    88→   577→   577→                              <div>
    89→   578→   578→                                <p className="text-sm font-medium">{s.nama}</p>
    90→   579→   579→                                <p className="text-xs text-muted-foreground">{s.nisn || s.jenisKelamin}</p>
    91→   580→   580→                              </div>
    92→   581→   581→                              {sudah && (
    93→   582→   582→                                <Badge variant="outline" className="text-xs shrink-0 bg-amber-50 text-amber-700 border-amber-200">
    94→   583→   583→                                  Sudah Tes
    95→   584→   584→                                </Badge>
    96→   585→   585→                              )}
    97→   586→   586→                            </button>
    98→   587→   587→                          );
    99→   588→   588→                        })
   100→   589→   589→                      )}
   101→   590→   590→                    </div>
   102→   591→   591→                  </div>
   103→   592→   592→                )}
   104→   593→   593→
   105→   594→   594→                {/* Selected & Start */}
   106→   595→   595→                {selectedSiswa && (
   107→   596→   596→                  <div className="space-y-3">
   108→   597→   597→                    <Separator />
   109→   598→   598→                    <div className="flex items-center justify-between">
   110→   599→   599→                      <div>
   111→   600→   600→                        <p className="text-sm font-medium">{selectedSiswa.nama}</p>
   112→   601→   601→                        <p className="text-xs text-muted-foreground">
   113→   602→   602→                          {selectedSiswa.rombel} • {selectedSiswa.jenisKelamin}
   114→   603→   603→                        </p>
   115→   604→   604→                      </div>
   116→   605→   605→                      <Button onClick={startTest} size="lg">
   117→   606→   606→                        <Play className="h-4 w-4 mr-2" />
   118→   607→   607→                        Mulai Tes ({totalSoal} Soal)
   119→   608→   608→                      </Button>
   120→   609→   609→                    </div>
   121→   610→   610→                    {sudahTesSet.has(selectedSiswa.id) && (
   122→   611→   611→                      <div className="rounded-lg bg-amber-50 border border-amber-200 p-3 text-sm text-amber-700">
   123→   612→   612→                        <strong>Perhatian:</strong> Siswa ini sudah pernah mengerjakan tes. Jika dilanjutkan, hasil sebelumnya akan ditimpa.
   124→   613→   613→                      </div>
   125→   614→   614→                    )}
   126→   615→   615→                  </div>
   127→   616→   616→                )}
